PriceNoTax,YearNum,Month_ID,BrandR1,SeazonClass,ConstrGroup,ExpositionType,CityType,OperatorR1,OperatorR2,BudgetClass,GRP,Latitude,Longitude,Population,Seller_Cat,Dis
25000.0,3,5,3.0,0,2,0,4,0,1,5,2.30315424165328,56.820232,60.486166,1493749.0,275,1.007957920399979
21900.0,1,6,1.0,0,2,0,4,2,2,1,1.03,58.00558100000001,56.121909,1055397.0,222,1.0986122886681098
21900.0,3,2,1.0,1,2,0,4,2,2,3,1.03,58.00558100000001,56.121909,1055397.0,222,1.0647107369924282
32900.0,3,3,1.0,1,2,0,4,2,2,3,1.03,58.00558100000001,56.121909,1055397.0,222,1.1315981899231013
23000.0,2,7,1.0,1,2,0,4,0,1,3,1.17777777777778,56.904151,60.633484,1493749.0,52,1.1260113098597484
14500.0,1,3,1.0,1,2,0,2,0,1,3,6.10554164301538,55.472396,65.292681,312364.0,275,1.0406421864719084
29583.33,1,9,3.0,2,2,1,4,2,4,0,2.15,56.87080899999999,60.66589399999999,1493749.0,18,1.0438040259878307
18000.0,1,1,1.0,0,2,0,2,0,2,5,5.6978569607839,57.90880600000001,59.959493,349008.0,172,1.0799201556559572
18000.0,1,11,1.0,2,2,0,2,0,2,5,5.6978569607839,57.90880600000001,59.959493,349008.0,172,1.0704414117014134
150000.0,3,4,3.0,1,2,0,5,2,4,4,0.39,55.890172,37.624844,12615279.0,36,1.0681530811834012
